,,,-986.399982139E-9,-250.00000000E-3,,,,,-986.399982139E-9,-59.999998484E-6,,,,,-986.399982139E-9,-359.99998450E-3,,,,,-1.9728001E-3,-512.000024319E-3,
,,,-986.200006992E-9,-250.00000000E-3,,,,,-986.200006992E-9,-99.999997474E-6,,,,,-986.200006992E-9,-340.00000358E-3,,,,,-1.9724001E-3,-512.000024319E-3,
,,,-986.000031844E-9,-250.00000000E-3,,,,,-986.000031844E-9,-59.999998484E-6,,,,,-986.000031844E-9,-340.00000358E-3,,,,,-1.9720001E-3,-512.000024319E-3,
,,,-985.799943010E-9,-269.99998093E-3,,,,,-985.799943010E-9,-99.999997474E-6,,,,,-985.799943010E-9,-340.00000358E-3,,,,,-1.9716001E-3,-512.000024319E-3,
,,,-985.599967862E-9,-269.99998093E-3,,,,,-985.599967862E-9,-19.9999995E-6,,,,,-985.599967862E-9,-359.99998450E-3,,,,,-1.9712001E-3,-512.000024319E-3,
,,,-985.399992715E-9,-269.99998093E-3,,,,,-985.399992715E-9,-59.999998484E-6,,,,,-985.399992715E-9,-340.00000358E-3,,,,,-1.9708001E-3,-512.000024319E-3,
,,,-985.200017567E-9,-269.99998093E-3,,,,,-985.200017567E-9,-99.999997474E-6,,,,,-985.200017567E-9,-340.00000358E-3,,,,,-1.9704001E-3,-512.000024319E-3,
,,,-985.000042419E-9,-250.00000000E-3,,,,,-985.000042419E-9,19.9999995E-6,,,,,-985.000042419E-9,-340.00000358E-3,,,,,-1.9700001E-3,-512.000024319E-3,
,,,-984.799953585E-9,-269.99998093E-3,,,,,-984.799953585E-9,-99.999997474E-6,,,,,-984.799953585E-9,-340.00000358E-3,,,,,-1.9696001E-3,-512.000024319E-3,
,,,-984.599978437E-9,-269.99998093E-3,,,,,-984.599978437E-9,-19.9999995E-6,,,,,-984.599978437E-9,-359.99998450E-3,,,,,-1.9692001E-3,-512.000024319E-3,
,,,-984.400003290E-9,-289.99999166E-3,,,,,-984.400003290E-9,19.9999995E-6,,,,,-984.400003290E-9,-359.99998450E-3,,,,,-1.9688001E-3,-512.000024319E-3,
,,,-984.200028142E-9,-250.00000000E-3,,,,,-984.200028142E-9,19.9999995E-6,,,,,-984.200028142E-9,-359.99998450E-3,,,,,-1.9684001E-3,-512.000024319E-3,
,,,-984.000052995E-9,-250.00000000E-3,,,,,-984.000052995E-9,-19.9999995E-6,,,,,-984.000052995E-9,-359.99998450E-3,,,,,-1.9680001E-3,-512.000024319E-3,
,,,-983.799964160E-9,-269.99998093E-3,,,,,-983.799964160E-9,-19.9999995E-6,,,,,-983.799964160E-9,-319.99999285E-3,,,,,-1.9676001E-3,-512.000024319E-3,
,,,-983.599989013E-9,-250.00000000E-3,,,,,-983.599989013E-9,19.9999995E-6,,,,,-983.599989013E-9,-340.00000358E-3,,,,,-1.9672001E-3,-512.000024319E-3,
,,,-983.400013865E-9,-269.99998093E-3,,,,,-983.400013865E-9,19.9999995E-6,,,,,-983.400013865E-9,-340.00000358E-3,,,,,-1.9668001E-3,-512.000024319E-3,
,,,-983.200038718E-9,-250.00000000E-3,,,,,-983.200038718E-9,19.9999995E-6,,,,,-983.200038718E-9,-379.99999523E-3,,,,,-1.9664001E-3,-512.000024319E-3,
,,,-982.999949883E-9,-269.99998093E-3,,,,,-982.999949883E-9,-19.9999995E-6,,,,,-982.999949883E-9,-340.00000358E-3,,,,,-1.9660001E-3,-512.000024319E-3,
,,,-982.799974736E-9,-250.00000000E-3,,,,,-982.799974736E-9,-19.9999995E-6,,,,,-982.799974736E-9,-340.00000358E-3,,,,,-1.9656001E-3,-512.000024319E-3,
,,,-982.599999588E-9,-250.00000000E-3,,,,,-982.599999588E-9,-99.999997474E-6,,,,,-982.599999588E-9,-340.00000358E-3,,,,,-1.9652001E-3,-512.000024319E-3,
,,,-982.400024441E-9,-250.00000000E-3,,,,,-982.400024441E-9,-59.999998484E-6,,,,,-982.400024441E-9,-340.00000358E-3,,,,,-1.9648001E-3,-512.000024319E-3,
,,,-982.200049293E-9,-269.99998093E-3,,,,,-982.200049293E-9,-19.9999995E-6,,,,,-982.200049293E-9,-340.00000358E-3,,,,,-1.9644001E-3,-512.000024319E-3,
,,,-981.999960459E-9,-269.99998093E-3,,,,,-981.999960459E-9,-99.999997474E-6,,,,,-981.999960459E-9,-359.99998450E-3,,,,,-1.9640001E-3,-512.000024319E-3,
